objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
IMG_0546.JPG,,,,Cherry Blossom Season,Heather,2014-03-31,Cherry Blossoms with a local train with Pokemon mural,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0165.JPG,,,,Adzuki beans and sticky rice for a spring celebration with students,,2013-05-03,Traditional Japanese dish,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0202.JPG,,,,Treats from Chez Shibata,,2013-06-09,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0215.JPG,,,,Neba-neba salad,,2013-06-22,Natto salad with okra and other sticky items,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0230.JPG,,,,,,,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0298.JPG,,,,,,,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0326.JPG,,,,,,,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0339.JPG,,,,,,,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0398.JPG,,,,,,,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0425.JPG,,,,,,,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0436.JPG,,,,,,,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_1370.JPG,,,,,,,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0232.JPG,,,,,,,,,,35.1815,136.9066,,,Image;StillImage,image/jpeg,eng,Public domain,
IMG_0232.JPG,,,,,,,,,,,,,,,,,,
IMG_0232.JPG,,,,,,,,,,,,,,,,,,
IMG_0232.JPG,,,,,,,,,,,,,,,,,,
IMG_0232.JPG,,,,,,,,,,,,,,,,,,
IMG_0232.JPG,,,,,,,,,,,,,,,,,,